timestamp,beats per minute,data source
2025-12-01T16:08:48Z,95.0,Inspire 3
2025-12-01T16:08:50Z,93.0,Inspire 3
2025-12-01T16:08:53Z,93.0,Inspire 3
2025-12-01T16:08:54Z,94.0,Inspire 3
2025-12-01T16:08:56Z,90.0,Inspire 3
2025-12-01T16:08:58Z,90.0,Inspire 3
2025-12-01T16:09:00Z,93.0,Inspire 3
2025-12-01T16:09:02Z,92.0,Inspire 3
2025-12-01T16:09:04Z,91.0,Inspire 3
2025-12-01T16:09:05Z,94.0,Inspire 3
2025-12-01T16:09:07Z,89.0,Inspire 3
2025-12-01T16:09:09Z,90.0,Inspire 3
2025-12-01T16:09:11Z,90.0,Inspire 3
2025-12-01T16:09:13Z,89.0,Inspire 3
2025-12-01T16:09:15Z,88.0,Inspire 3
2025-12-01T16:09:17Z,86.0,Inspire 3
2025-12-01T16:09:19Z,85.0,Inspire 3
2025-12-01T16:09:21Z,84.0,Inspire 3
2025-12-01T16:09:23Z,83.0,Inspire 3
2025-12-01T16:09:25Z,82.0,Inspire 3
2025-12-01T16:09:27Z,83.0,Inspire 3
2025-12-01T16:09:29Z,84.0,Inspire 3
2025-12-01T16:09:30Z,83.0,Inspire 3
2025-12-01T16:09:33Z,83.0,Inspire 3
2025-12-01T16:09:34Z,87.0,Inspire 3
2025-12-01T16:09:36Z,84.0,Inspire 3
2025-12-01T16:09:38Z,83.0,Inspire 3
2025-12-01T16:09:40Z,82.0,Inspire 3
2025-12-01T16:09:43Z,82.0,Inspire 3
2025-12-01T16:09:44Z,83.0,Inspire 3
2025-12-01T16:09:46Z,84.0,Inspire 3
2025-12-01T16:09:49Z,84.0,Inspire 3
2025-12-01T16:09:52Z,84.0,Inspire 3
2025-12-01T16:09:55Z,84.0,Inspire 3
2025-12-01T16:09:58Z,85.0,Inspire 3
2025-12-01T16:10:00Z,86.0,Inspire 3
2025-12-01T16:10:03Z,87.0,Inspire 3
2025-12-01T18:12:35Z,106.0,Inspire 3
2025-12-01T18:12:37Z,105.0,Inspire 3
2025-12-01T18:12:39Z,103.0,Inspire 3
2025-12-01T18:12:41Z,104.0,Inspire 3
2025-12-01T18:12:44Z,104.0,Inspire 3
2025-12-01T18:12:45Z,105.0,Inspire 3
2025-12-01T18:12:47Z,106.0,Inspire 3
2025-12-01T18:12:49Z,107.0,Inspire 3
2025-12-01T18:12:51Z,109.0,Inspire 3
2025-12-01T18:12:52Z,108.0,Inspire 3
2025-12-01T18:12:55Z,108.0,Inspire 3
2025-12-01T18:12:58Z,105.0,Inspire 3
2025-12-01T18:13:00Z,107.0,Inspire 3
2025-12-01T18:13:02Z,106.0,Inspire 3
2025-12-01T18:13:04Z,110.0,Inspire 3
2025-12-01T18:13:06Z,111.0,Inspire 3
2025-12-01T18:13:08Z,113.0,Inspire 3
2025-12-01T18:13:10Z,112.0,Inspire 3
2025-12-01T18:13:12Z,111.0,Inspire 3
2025-12-01T18:13:15Z,111.0,Inspire 3
2025-12-01T18:13:16Z,108.0,Inspire 3
2025-12-01T18:13:19Z,110.0,Inspire 3
2025-12-01T18:13:21Z,114.0,Inspire 3
